"Long-term changes in bird populations by species group from 1970 to 2022, Canada",,,
Smith's longspur,Increasing,Yes,Arctic birds
Snow bunting,Decreasing,Yes,Arctic birds
Snow goose,Increasing,Yes,Arctic birds
Snow goose,Increasing,Yes,Waterfowl
Snowy egret,Data deficient,Yes,Wetland birds
Snowy owl,Decreasing,No,Birds of prey
Snowy owl,Decreasing,No,Arctic birds
Solitary sandpiper,Increasing,Yes,Long-distance migrants
Solitary sandpiper,Increasing,Yes,Shorebirds
Sooty grouse,Decreasing,No,Forest birds
Sooty shearwater,Data deficient,Yes,Marine birds
Sora,Stable,Yes,Wetland birds
Source: Birds Canada and Environment and Climate Change Canada (2024) State of Canada's Birds: Species accounts (www.naturecounts.ca/nc/socb-epoc/search.jsp?switchlang=EN).,,,
South polar skua,Data deficient,Yes,Marine birds
Species,Status,Migratory Birds Convention Act species,Species group
Spotted owl,Decreasing,No,Birds of prey
Spotted owl,Decreasing,No,Forest birds
Spotted sandpiper,Decreasing,Yes,Wetland birds
Spotted sandpiper,Decreasing,Yes,Shorebirds
Spotted sandpiper,Decreasing,Yes,Long-distance migrants
Sprague's pipit,Decreasing,Yes,Grassland birds
Spruce grouse,Increasing,No,Forest birds
Steller's jay,Stable,No,Forest birds
Stilt sandpiper,Decreasing,Yes,Shorebirds
Stilt sandpiper,Decreasing,Yes,Arctic birds
Stilt sandpiper,Decreasing,Yes,Long-distance migrants
Surf scoter,Stable,Yes,Marine birds
Surf scoter,Stable,Yes,Waterfowl
Surfbird,Decreasing,Yes,Shorebirds
Surfbird,Decreasing,Yes,Arctic birds
Swainson's hawk,Increasing,No,Long-distance migrants
Swainson's hawk,Increasing,No,Grassland birds
Swainson's hawk,Increasing,No,Birds of prey
Swainson's Thrush,Stable,Yes,Long-distance migrants
Swainson's Thrush,Stable,Yes,Forest birds
Swamp Sparrow,Increasing,Yes,Wetland birds
Tennessee Warbler,Stable,Yes,Long-distance migrants
Tennessee Warbler,Stable,Yes,Forest birds
Thick-billed longspur,Decreasing,Yes,Grassland birds
Thick-billed murre,Increasing,Yes,Marine birds
Thick-billed murre,Increasing,Yes,Arctic birds
Townsend's Solitaire,Stable,Yes,Forest birds
Townsend's Warbler,Stable,Yes,Forest birds
Tree swallow,Decreasing,Yes,Aerial insectivores
Trumpeter swan,Increasing,Yes,Wetland birds
Trumpeter swan,Increasing,Yes,Waterfowl
Tufted puffin,Stable,Yes,Marine birds
Tundra swan,Increasing,Yes,Waterfowl
Tundra swan,Increasing,Yes,Arctic birds
Turkey vulture,Increasing,No,Birds of prey
